,date,mh,gj,dl,tn,rj,mp,up,ap,wb,pb
39,22-Apr-20,0.7464522232734153,0.6347517730496454,0.9378238341968912,0.9735294117647059,0.9272237196765498,0.6523605150214592,0.8917525773195877,0.8333333333333334,0.8295454545454546,0.7681159420289855
40,23-Apr-20,0.7486631016042781,0.6972972972972973,0.9417249417249417,0.9740932642487047,0.941544885177453,0.7073170731707317,0.8956521739130435,0.8392857142857143,0.8404255319148937,0.7951807228915663
41,24-Apr-20,0.7613365155131265,0.6760204081632653,0.9417582417582417,0.9752252252252253,0.939047619047619,0.693069306930693,0.900398406374502,0.8333333333333334,0.8512396694214877,0.8045977011494253
42,25-Apr-20,0.7696709585121603,0.6795180722891566,0.9414951245937161,0.9766022380467956,0.9378427787934186,0.7375328083989501,0.90625,0.8465346534653465,0.8512396694214877,0.8089887640449438
43,26-Apr-20,0.7769784172661871,0.6745689655172413,0.9419978517722879,0.9770114942528736,0.9388059701492537,0.7438423645320197,0.9159663865546218,0.8816793893129771,0.84,0.8235294117647058
44,27-Apr-20,0.776969696969697,0.7086330935251799,0.9419978517722879,0.9781420765027322,0.9370277078085643,0.7628205128205128,0.9279069767441861,0.8834586466165414,0.84,0.8376068376068376
45,28-Apr-20,0.7767207610520426,0.7056910569105691,0.9522968197879859,0.9783174327840416,0.9367396593673966,0.7550607287449392,0.9314516129032258,0.8927335640138409,0.8320610687022901,0.8416666666666667
46,29-Apr-20,0.7870553359683794,0.7279005524861878,0.9512195121951219,0.9781729991915926,0.9367088607594937,0.7787162162162162,0.9289617486338798,0.9025157232704403,0.8439716312056738,0.8416666666666667
47,30-Apr-20,0.7947108919766921,0.7412333736396615,0.9488291413703382,0.978988326848249,0.9390115667718192,0.7774193548387097,0.9323181049069373,0.9119318181818182,0.7898089171974523,0.8387096774193549
48,01-May-20,0.7951756242065171,0.757201646090535,0.9503257328990228,0.9791044776119403,0.9473684210526315,0.7820895522388059,0.9396551724137931,0.9243119266055045,0.7722222222222223,0.84375
49,02-May-20,0.7936507936507936,0.7737478411053541,0.9515151515151515,0.9788321167883212,0.9480916030534351,0.8041237113402062,0.941970310391363,0.930379746835443,0.7587939698492462,0.8484848484848485
50,03-May-20,0.7945154019534185,0.7822822822822822,0.9551192145862553,0.978708303761533,0.9502452697967765,0.8356020942408376,0.946047678795483,0.9366602687140115,0.5196850393700787,0.8478260869565217
51,04-May-20,0.8089924515917296,0.7892998678996037,0.9571906354515051,0.9784722222222222,0.9491749174917492,0.837573385518591,0.9424206815511164,0.940754039497307,0.6210826210826211,0.847682119205298
